"rgn_id","habitat","km2"
5,"mangrove",2101.03701
9,"mangrove",2101.03701
8,"mangrove",2101.03701
2,"mangrove",2101.03701
4,"mangrove",2101.03701
6,"mangrove",2101.03701
12,"mangrove",2101.03701
10,"mangrove",2101.03701
1,"mangrove",2101.03701
11,"mangrove",2101.03701
7,"mangrove",2101.03701
3,"mangrove",2101.03701
5,"seagrass",372.005
9,"seagrass",372.005
8,"seagrass",372.005
2,"seagrass",372.005
4,"seagrass",372.005
6,"seagrass",372.005
12,"seagrass",372.005
10,"seagrass",372.005
1,"seagrass",372.005
11,"seagrass",372.005
7,"seagrass",372.005
3,"seagrass",372.005
