rgn_id,sciname,popn_trend
1,Alopias vulpinus,decreasing
1,Balaenoptera musculus,increasing
1,Carcharhinus perezi,decreasing
1,Caretta caretta,
1,Chelonia mydas,decreasing
1,Dermochelys coriacea,increasing
1,Dermochelys coriacea,decreasing
1,Dermochelys coriacea,decreasing
1,Eretmochelys imbricata,decreasing
1,Galeocerdo cuvier,unknown
1,Isurus oxyrinchus,decreasing
1,Isurus oxyrinchus,decreasing
1,Lepidochelys olivacea,decreasing
1,Megaptera novaeangliae,increasing
1,Prionace glauca,unknown
1,Rhincodon typus,decreasing
2,Alopias vulpinus,decreasing
2,Balaenoptera musculus,increasing
2,Carcharhinus perezi,decreasing
2,Caretta caretta,
2,Chelonia mydas,decreasing
2,Dermochelys coriacea,increasing
2,Dermochelys coriacea,decreasing
2,Dermochelys coriacea,decreasing
2,Eretmochelys imbricata,decreasing
2,Galeocerdo cuvier,unknown
2,Isurus oxyrinchus,decreasing
2,Isurus oxyrinchus,decreasing
2,Lepidochelys olivacea,decreasing
2,Megaptera novaeangliae,increasing
2,Prionace glauca,unknown
2,Rhincodon typus,decreasing
3,Alopias vulpinus,decreasing
3,Balaenoptera musculus,increasing
3,Carcharhinus perezi,decreasing
3,Caretta caretta,
3,Chelonia mydas,decreasing
3,Dermochelys coriacea,increasing
3,Dermochelys coriacea,decreasing
3,Dermochelys coriacea,decreasing
3,Eretmochelys imbricata,decreasing
3,Galeocerdo cuvier,unknown
3,Isurus oxyrinchus,decreasing
3,Isurus oxyrinchus,decreasing
3,Lepidochelys olivacea,decreasing
3,Megaptera novaeangliae,increasing
3,Prionace glauca,unknown
3,Rhincodon typus,decreasing
