"rgn_id","habitat","boolean"
5,"coral",1
9,"coral",1
8,"coral",1
2,"coral",1
4,"coral",1
6,"coral",1
12,"coral",1
10,"coral",1
1,"coral",1
11,"coral",1
7,"coral",1
3,"coral",1
5,"mangrove",1
9,"mangrove",1
8,"mangrove",1
2,"mangrove",1
4,"mangrove",1
6,"mangrove",1
12,"mangrove",1
10,"mangrove",1
1,"mangrove",1
11,"mangrove",1
7,"mangrove",1
3,"mangrove",1
5,"mangrove_inland1km",1
9,"mangrove_inland1km",1
8,"mangrove_inland1km",1
2,"mangrove_inland1km",1
4,"mangrove_inland1km",1
6,"mangrove_inland1km",1
12,"mangrove_inland1km",1
10,"mangrove_inland1km",1
1,"mangrove_inland1km",1
11,"mangrove_inland1km",1
7,"mangrove_inland1km",1
3,"mangrove_inland1km",1
5,"mangrove_offshore1km",1
9,"mangrove_offshore1km",1
8,"mangrove_offshore1km",1
2,"mangrove_offshore1km",1
4,"mangrove_offshore1km",1
6,"mangrove_offshore1km",1
12,"mangrove_offshore1km",1
10,"mangrove_offshore1km",1
1,"mangrove_offshore1km",1
11,"mangrove_offshore1km",1
7,"mangrove_offshore1km",1
3,"mangrove_offshore1km",1
5,"rocky_reef",1
9,"rocky_reef",1
8,"rocky_reef",1
2,"rocky_reef",1
4,"rocky_reef",1
6,"rocky_reef",1
12,"rocky_reef",1
10,"rocky_reef",1
1,"rocky_reef",1
11,"rocky_reef",1
7,"rocky_reef",1
3,"rocky_reef",1
5,"seagrass",1
9,"seagrass",1
8,"seagrass",1
2,"seagrass",1
4,"seagrass",1
6,"seagrass",1
12,"seagrass",1
10,"seagrass",1
1,"seagrass",1
11,"seagrass",1
7,"seagrass",1
3,"seagrass",1
5,"soft_bottom",1
9,"soft_bottom",1
8,"soft_bottom",1
2,"soft_bottom",1
4,"soft_bottom",1
6,"soft_bottom",1
12,"soft_bottom",1
10,"soft_bottom",1
1,"soft_bottom",1
11,"soft_bottom",1
7,"soft_bottom",1
3,"soft_bottom",1
